ticker,name,description,target_entry,target_exit
IMPP,Imperial Petroleum Inc. - Common Shares,Other,,
IMRX,Immuneering Corporation - Class A Common Stock,Other,,
IMSR,Terrestrial Energy Inc. - Common Stock,Other,,
IMTX,Immatics N.V. - Ordinary Shares,Other,,
IMUX,"Immunic, Inc.  - Common Stock",Other,,
IMXI,"International Money Express, Inc. - Common Stock",Other,,
INDI,"indie Semiconductor, Inc. - Class A Common Stock",Other,,
INDP,"Indaptus Therapeutics, Inc. - Common Stock",Other,,
INHD,Inno Holdings Inc. - Common Stock,Other,,
INMD,InMode Ltd.  - Ordinary Shares,Other,,
INNV,InnovAge Holding Corp. - Common Stock,Other,,
INO,"Inovio Pharmaceuticals, Inc. - Common Stock",Other,,
INSG,Inseego Corp. - Common Stock,Other,,
INV,"Innventure, Inc. - Common Stock",Other,,
INVA,"Innoviva, Inc. - Common Stock",Other,,
INVE,"Identiv, Inc. - Common Stock",Other,,
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",Other,,
IPSC,"Century Therapeutics, Inc. - Common Stock",Other,,
IRD,"Opus Genetics, Inc. - Common Stock",Other,,
IRWD,"Ironwood Pharmaceuticals, Inc. - Class A Common Stock",Other,,
ISSC,"Innovative Solutions and Support, Inc. - Common Stock",Other,,
IVA,Inventiva S.A. - American Depository Shares,Other,,
IVVD,"Invivyd, Inc. - Common Stock",Other,,
JACK,Jack In The Box Inc. - Common Stock,Other,,
JANX,"Janux Therapeutics, Inc. - Common Stock",Other,,
JBIO,"Jade Biosciences, Inc. - Common Stock",Other,,
JCAP,"Jefferson Capital, Inc. - Common Stock",Other,,
JFB,JFB Construction Holdings - Class A Common Stock,Other,,
JLHL,Julong Holding Limited - Class A Ordinary Shares,Other,,
JRSH,"Jerash Holdings (US), Inc. - Common Stock",Other,,
JRVR,"James River Group Holdings, Inc. - Common Stock",Other,,
KDK,"Kodiak AI, Inc. - Common Stock",Other,,
KELYA,"Kelly Services, Inc. - Class A Common Stock",Other,,
KGEI,Kolibri Global Energy Inc. - Common stock,Other,,
KLRS,"Kalaris Therapeutics, Inc.  - Common Stock",Other,,
KLTR,"Kaltura, Inc. - Common Stock",Other,,
KMTS,"Kestra Medical Technologies, Ltd. - Common Stock",Other,,
KRNT,Kornit Digital Ltd. - Ordinary Shares,Other,,
KRNY,Kearny Financial - Common Stock,Other,,
KROS,"Keros Therapeutics, Inc. - common stock",Other,,
KRUS,"Kura Sushi USA, Inc. - Class A Common Stock",Other,,
KURA,"Kura Oncology, Inc. - Common Stock",Other,,
KVHI,"KVH Industries, Inc. - Common Stock",Other,,
KYTX,"Kyverna Therapeutics, Inc. - Common Stock",Other,,
LAB,Standard BioTools Inc. - Common Stock,Other,,
LAES,SEALSQ Corp - Ordinary Shares,Other,,
LAND,Gladstone Land Corporation - Common Stock,Other,,
LBRX,LB Pharmaceuticals Inc - Common Stock,Other,,
LCUT,"Lifetime Brands, Inc. - Common Stock",Other,,
LE,"Lands' End, Inc. - Common Stock",Other,,
LENZ,"LENZ Therapeutics, Inc. - Common Stock",Other,,
LFMD,"LifeMD, Inc. - Common Stock",Other,,
LFVN,Lifevantage Corporation - Common Stock,Other,,
LGCL,Lucas GC Limited - Class A Ordinary Shares,Other,,
LGO,Largo Inc. - Common Shares,Other,,
LIDR,"AEye, Inc. - Class A Common Stock",Other,,
LILA,Liberty Latin America Ltd. - Class A Common Stock,Other,,
LILAK,Liberty Latin America Ltd. - Class C Common Stock,Other,,
LINC,Lincoln Educational Services Corporation - Common Stock,Other,,
LIND,Lindblad Expeditions Holdings Inc.  - Common Stock,Other,,
LMRI,"Lumexa Imaging Holdings, Inc. - Common Stock",Other,,
LOCO,"El Pollo Loco Holdings, Inc. - Common Stock",Other,,
LPTH,"LightPath Technologies, Inc. - Class A Common Stock",Other,,
LRMR,"Larimar Therapeutics, Inc. - Common Stock",Other,,
LTBR,Lightbridge Corporation - Common Stock,Other,,
LTRX,"Lantronix, Inc. - Common Stock",Other,,
LUCD,Lucid Diagnostics Inc. - Common Stock,Other,,
LUNG,Pulmonx Corporation - Common Stock,Other,,
LWLG,"Lightwave Logic, Inc. - Common Stock",Other,,
LXEO,"Lexeo Therapeutics, Inc. - Common Stock",Other,,
LXRX,"Lexicon Pharmaceuticals, Inc. - Common Stock",Other,,
LYTS,LSI Industries Inc. - Common Stock,Other,,
MAMA,"Mama's Creations, Inc. - Common Stock",Other,,
MASS,908 Devices Inc. - Common Stock,Other,,
MATW,Matthews International Corporation - Class A Common Stock,Other,,
MAZE,"Maze Therapeutics, Inc. - Common Stock",Other,,
MBOT,Microbot Medical Inc.  - Common Stock,Other,,
MDXG,"MiMedx Group, Inc - Common Stock",Other,,
METC,"Ramaco Resources, Inc. - Class A Common Stock",Other,,
MFIC,MidCap Financial Investment Corporation - Closed End Fund,Other,,
MGNX,"MacroGenics, Inc. - Common Stock",Other,,
